Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Healthier baskets,,,,,,,,
,Product goal 1,,,,,,,,
,,,,,,,,,
,Total sales from healthier products,Own brand sales from healthier products,Reformulation of own brand products,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Total sales from healthier products,,,,,,,,Ü Footnote 1
,,,,,,,,,
,,,,,F21,F22,F23,,
,Proportion of total sales dollars from healthier products,,,,0.6128,0.6133,0.6107,,
,Proportion of total sales tonnage from healthier products,,,,0.6947,0.7044,0.7057,,
,,,,,,,,,
,,,,,,,,,
,Own brand sales from healthier products,,,,,,,,Ü Footnote 1
,,,,,,,,,
,,,,,F21,F22,F23,,
,Proportion of own brand sales dollars from healthier products,,,,0.8176,0.8157,0.8135,,
,Proportion of own brand sales tonnage from healthier products,,,,0.8591,0.8637,0.862,,
,,,,,,,,,
,,,,,,,,,
,Reformulation of own brand products,,,,,,,,Ü Footnote 2
,,,,,,,,,
,Tonnes removed from (in-year) reformulations,,,,,,,,
,,,,,F21,F22,F23,,
,Sugar,,,,109,247,136,,
,Salt,,,,68,100,56,,
,Saturated fat,,,,352,274,391,,
,,,,,,,,,
,Tonnes added from (in-year) reformulations,,,,,,,,
,,,,,F21,F22,F23,,
,Vegetables,,,,788,875,1026,,
,Wholegrains,,,,374,71,41,,
,,,,,,,,,
,,,,,,,,,
,Footnotes,,,,,,,,
,,,,,,,,,
,Ü General note,"All figures include Australian Supermarkets, Metro and Countdown New Zealand.",,,,,,,
,Ü Footnote 1,Healthier products are deemed to be those with a Health Star Rating (HSR) of 3.5 or above.,,,,,,,
,Ü Footnote 2,Figures are based on previous 12-month sales quantities from product launch.,,,,,,,
