Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,,Diversity & inclusion,,,,,,,,,,
1,,People goal 1,,,,,,,,,,
3,,Gender & age diversity,Gender pay parity,Respect & dignity,Freedom of association,,,,,,,
7,,Gender & age diversity,,,,,,GRI 405-1,,,,
9,,Board of Directors gender & age diversity,,,,,,,,,,
10,,,,,,F21,F22,F23,,,,
11,,Women,<25,,,0,0,0,,,,
12,,,25 - <35,,,0,0,0,,,,
13,,,35 - <45,,,0,0,0,,,,
14,,,45 - <55,,,2,2,1,,,,
15,,,55 - <65,,,3,3,4,,,,
16,,,>65,,,0,0,0,,,,
17,,,Total,,,5,5,5,,,,
18,,Men,<25,,,0,0,0,,,,
19,,,25 - <35,,,0,0,0,,,,
20,,,35 - <45,,,0,0,0,,,,
21,,,45 - <55,,,0,0,0,,,,
22,,,55 - <65,,,2,2,3,,,,
23,,,>65,,,2,2,1,,,,
24,,,Total,,,4,4,4,,,,
25,,Different term,<25,,,0,0,0,,,,
26,,,25 - <35,,,0,0,0,,,,
27,,,35 - <45,,,0,0,0,,,,
28,,,45 - <55,,,0,0,0,,,,
29,,,55 - <65,,,0,0,0,,,,
30,,,>65,,,0,0,0,,,,
31,,,Total,,,0,0,0,,,,
33,,Women representation in the workforce by employment category,,,,,,,,ÃÂ Footnote 1,,
34,,,,,,F21,F22,F23,,,,
35,,Executives,,,,0.317,0.338,0.367,,,,
36,,Senior managers,,,,0.373,0.405,0.413,,,,
37,,Managers,,,,0.441,0.446,0.442,,,,
38,,Office support,,,,0.562,0.555,0.539,,,,
39,,Technicians and trades,,,,0.127,0.128,0.128,,,,
40,,Sales,,,,0.604,0.635,0.623,,,,
41,,Other,,,,0.183,0.346,0.351,,,,
44,,Gender pay parity,,,,,,GRI 405-2,,"ÃÂ Footnotes 1, 2",,
46,,Total remuneration,,,,,,,,,,
47,,,,,,F21,F22,F23,,,,
48,,Non-managerial,Women,,,53258,54218,56823,,,,
49,,,Men,,,57624,58299,60449,,,,
50,,,Different term,,,Not available,52561,55043,,,,
51,,,Average,,,55136,55965,58410,,,,
52,,Managerial,Women,,,94291,99641,106372,,,,
53,,,Men,,,104727,109418,114109,,,,
54,,,Different term,,,Not available,114879,115123,,,,
55,,,Average,,,100201,105116,110718,,,,
57,,Ratio to average,,,,,,,,,,
58,,,,,,F21,F22,F23,,,,
59,,Non-managerial,Women,,,0.966,0.969,0.973,,,,
60,,,Men,,,1.045,1.042,1.035,,,,
61,,,Different term,,,Not available,0.939,0.942,,,,
62,,Managerial,Women,,,0.941,0.948,0.961,,,,
63,,,Men,,,1.045,1.041,1.031,,,,
64,,,Different term,,,Not available,1.093,1.04,,,,
67,,Respect & dignity,,,,,,GRI 406-1,,ÃÂ Footnote 3,,
69,,Discrimination claims,,,,,,,,,,
70,,,,,,F21,F22,F23,,,,
71,,Number of claims lodged,,,,94,113,95,,,,
72,,Number of claims resolved,,,,83,113,90,,,,
73,,Number of claims substantiated,,,,12,4,8,,,,
76,,Freedom of association,,,,,,GRI 407-1,,ÃÂ Footnote 4,,
78,,Number of EBA employees by division,,,,,,,,,,
79,,,,,,F21,F22,F23,,,,
80,,Australian Food,,,,108386,133829,128187,,,,
81,,New Zealand Food,,,,13783,18185,17648,,,,
82,,Big W,,,,15856,16584,15598,,,,
83,,Primary Connect,,,,Not reported,Not reported,7568,,,,
84,,Corporate,,,,6993,7127,4826,,,,
85,,Australian B2B,,,,Not reported,391,1885,,,,
86,,Other,,,,Not reported,Not reported,13,,,,
87,,Total,,,,145018,176116,175725,,,,
89,,Percentage of EBA employees by division,,,,,,,,,,
90,,,,,,F21,F22,F23,,,,
91,,Australian Food,,,,0.925,0.918,0.912,,,,
92,,New Zealand Food,,,,0.837,0.848,0.836,,,,
93,,Big W,,,,0.908,0.916,0.904,,,,
94,,Primary Connect,,,,Not reported,Not reported,0.832,,,,
95,,Corporate,,,,0.631,0.617,0.52,,,,
96,,Australian B2B,,,,Not reported,0.893,0.677,,,,
97,,Other,,,,Not reported,Not reported,0.089,,,,
98,,Total,,,,0.894,0.892,0.878,,,,
101,,Footnotes,,,,,,,,,,
103,,ÃÂ Footnote 1,"Data refers to the 12 months ending January 1 of each year, covers Australia based team members only, and is consistent with our Workplace Gender Equality Agency (WGEA) submissions. F21 figures have been re-stated to exclude Endeavour Group.",,,,,,,,,
104,,ÃÂ Footnote 2,"The ratios reported are relative to the total average salary within the managerial and managerial categories, irrespective of role and position level (ie, not like-for-like). Through our ongoing Pay Parity Project, we monitor the gender pay gap for like-for-like roles across the Woolworths Group, at all levels. Our last review confirmed a gap of less than 1%, which we aim to maintain.\n\n",,,,,,,,,
105,,ÃÂ Footnote 3,"Data refers to financial years and covers all Australian Food, Corporate and New Zealand operations. F23 data excludes PFD Foods and MyDeal, while F21 data includes Endeavour Group. We are working towards a resolution on all outstanding claims.",,,,,,,,,
106,,ÃÂ Footnote 4,"Data refers to financial years, covers all Australian and New Zealand headcount, and excludes workforce located in Greater China, Bangladesh, The Philippines and Thailand. F21 figures have been re-stated to exclude Endeavour Group.",,,,,,,,,
