Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Sustainable own brand packaging,,,,,,,,,,
,Product goal 2,,,,,,,,,,
,,,,,,,,,,,
,Virgin plastic reduction,Recyclability,Recycled content,Australasian Recycling Label,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Virgin plastic reduction,,,,,,,,,,
,,,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Virgin plastic reduction from targeted initiatives (tonnes),,,,2066,4262,2105.541076820057,,,,
,Cumulative virgin plastic reduction relative to baseline (%),,,,0.13,0.22,0.26,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Recyclability (% of total tonnage),,,,,,GRI 301-2,,,,
,,,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Recyclability excluding soft plastics,,,,,,0.8523771818417945,,,,
,Recyclability including soft plastics,,,,,,0.9408133443276878,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Recycled content (% of total tonnage),,,,,,GRI 301-1,,,,
,,,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Recycled content,,,,,,0.49,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Australasian Recycling Label,,,,,,,,,,
,,,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Proportion of SKUs with ARL on pack,,,,,,0.718,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Footnotes,,,,,,,,,,
,,,,,,,,,,,
,Ü General note,"F21 and F22 figures relate to Australian Food only. Figures for F23 include Australian Food, New Zealand Food and Big W.",,,,,,,,,
