Social,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Indicator,Unit,FY2020,FY2021,FY2022,FY2023,,
Safety,,,,,,,
Total Recordable Case Frequency Rate (TRCFR)1,,0.16,0.16,0.16,0.14,,
Direct employees,,n.d.,n.d.,0.13,0.12,,
Contractors and subcontractors,,n.d.,n.d.,0.21,0.18,,
Partners and customers,,n.d.,n.d.,0.06,0,,
Lost Workday Frequency Rate (LWCFR)1,,0.03,0.02,0.04,0.03,,
Direct employees,,n.d.,n.d.,0.03,0.03,,
Contractors and subcontractors,,n.d.,n.d.,0.06,0.03,,
Partners and customers,,n.d.,n.d.,0,0,,
Serious Case Frequency Rate (SCFR)1,,0.06,0.07,0.06,0.03,,
Direct employees,,n.d.,n.d.,0.05,0.03,,
Contractors and subcontractors,,n.d.,n.d.,0.07,0.04,,
Partners and customers,,n.d.,n.d.,0.06,0,,
Fatalities,#,1,0,0,1,,
Direct employees,#,n.d.,0,0,1,,
Contractors and subcontractors,#,n.d.,0,0,0,,
Partners and customers,#,n.d.,0,0,0,,
People development,,,,,,,
Digital learning accreditations Issued,#,n.d.,n.d.,21700,41800,,
Sustainability learning accreditations Issued ,#,n.d.,n.d.,10500,44700,,
Workforce training on data privacy,%,0.6556744769067593,0.8385744234800838,0.85,0.98,,
Utilization,%,n.d.,n.d.,0.9,0.9,,
Gender,,,,,,,
Total workforce,%,n.d.,0.18,0.186,0.208,,
Board members,%,n.d.,0.33,0.33,0.33,,
Group Executives,%,n.d.,0.6,0.45,0.45,,
Senior Leaders,%,n.d.,0.16,0.16,0.16,,
Graduate intake,%,n.d.,0.46,0.47,0.48,,
Our workforce demograpics,,,,,,,
Total employees,#,51855,47700,51000,48233,,
Employees (Americas),#,n.d.,n.d.,n.d.,14056,,
Employees (APAC),#,n.d.,n.d.,n.d.,15162,,
Employees (EMEA),#,n.d.,n.d.,n.d.,19005,,
Permanent employees,#,n.d.,n.d.,n.d.,36060,,
Temporary employees,#,n.d.,n.d.,n.d.,12163,,
The Worley Foundation,,,,,,,
Organizations pledged to support,#,n.d.,n.d.,16,21,,
Corporate financial donations,,,,,,,
Total contributions,AUD,2664160,1614960,2252889,2252366,,
Non-legislated contributions,AUD,1553020,1053710,1397483,1359475,,
Legislated contributions,AUD,1111140,561250,855406,892880,,
Direct economic value generated and distributed,,,,,,,
Economic value generated and distributed,Million AUD,n.d.,n.d.,9814,11170,,
Economic value generated and received,Million AUD,n.d.,n.d.,9863,11137,, 
Distributed to our shareholders,Million AUD,n.d.,n.d.,262,262,,
Distributed to other stakeholders,Million AUD,n.d.,n.d.,9552,10908,,
Economic value retained,Million AUD,n.d.,n.d.,49,-33,,
,,,,,,,
1 Our safety performance is presented as the rate of cases divided by the number of hours worked. For this reason it does not have an associated unit. See our sustainability basis of preparation for more information.,,,,,,,
