Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,Social & environmental,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Climate certification / commitments,2023,2022,2021,,,,,,,,,,,,,,,,
,Maintained carbon neutral certification ,Certification for FY22 achieved in FY23*,Achieved,Achieved,,,,,,,,,,,,,,,,
,Implemented Taskforce on Climate-Related Financial Disclosure (TCFD) **,Progress has been made against all of Xero's TCFD roadmap activities identified for FY23,On track to be implemented by FY24,-,,,,,,,,,,,,,,,,
,"* We apply for Climate Active carbon neutral certification annually in arrears in October. In FY23, our certification for FY22 was maintained. We will report the outcome of our FY23 certification application in the FY24 Annual Report",,,,,,,,,,,,,,,,,,,
,**Refer to our TCFD statement on our website: www.xero.com/sustainability for details around progress against our TCFD activities identified for FY23,,,,,,,,,,,,,,,,,,,
,,Year ended 31 March,,,,,,,,,,,,,,,,,,
,Community contributions ($000s),2023,2022,2021,,,,,,,,,,,,,,,,
,Cash contribution to non-profit organisations,90,212,,,,,,,,,,,,,,,,,
,Forgone revenue related to discounts given to non-profit organisations,2283,1744,,,,,,,,,,,,,,,,,
,Volunteering in kind contributions,376,131,,,,,,,,,,,,,,,,,
,Partnership investments*,711,64,,,,,,,,,,,,,,,,,
,Tech outreach community investments,105,111,,,,,,,,,,,,,,,,,
,Total  community contributions,3565,2262,,,,,,,,,,,,,,,,,
,"*Partnership investments are instances where we have invested financially in a partnership with a “for purpose” organisation, such as a non-profit, or a specific activity like sponsoring a campaign that creates positive social or environmental impact",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,FY23 emissions below have been calculated using an extrapolation of activity data from the 9 months of the financial year (1 April to 31 December). This number will be amended in the FY24 Annual Report using the full financial year activity data,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,GHG emissions (tCO₂e)*,2023,2022,2021,,,,,,,,,,,,,,,,
,Scope 1,6.92,5.03,7.14,,,,,,,,,,,,,,,,
,Scope 2,965.77,697.58,470,,,,,,,,,,,,,,,,
,Scope 3,11242,4971,3823.8,,,,,,,,,,,,,,,,
,Total GHG emissions,12215,5674,4301,,,,,,,,,,,,,,,,
,"*We report our Scope 1, 2 and 3 emissions in our Annual Report and Databook, on our website and in our annual Climate Active Public Disclosure Statements. Due to differences in Climate Active Technical guidance and Science Based Target Net Zero guidance, we are transitioning to reporting a Greenhouse Gas (GHG) Protocol aligned inventory in our annual reporting suite. This inventory will be used to report our progress against our 2030 emissions reduction targets. Our Climate Active inventory will continue to be provided in our annual Climate Active public disclosure summary available on the Australian Government’s Climate Active website.  As a result FY22 and FY21 have also been adjusted to align with the GHG protocol",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,GHG emissions intensity (tCO₂e),2023,2022,2021,,,,,,,,,,,,,,,,
,Emissions intensity (tCO2e per FTE),2.4,1.19,1.18,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,GHG emissions by source (tCO₂e),2023,2022,2021,,,,,,,,,,,,,,,,
,Scope 1,,,,,,,,,,,,,,,,,,,
,Transport fuel combustion ,6.92,5.03,7.14,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Scope 2,,,,,,,,,,,,,,,,,,,
,Electricity,965.77,697.58,469.53,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Scope 3*,,,,,,,,,,,,,,,,,,,
,Purchased goods and services,1552.18,1152.04,1315.57,,,,,,,,,,,,,,,,
,Fuel and energy related activities,80.92,66.51,48.14,,,,,,,,,,,,,,,,
,Waste generated in operations,285.77,257.84,54.4,,,,,,,,,,,,,,,,
,Business travel,6121.09,506.54,90.9,,,,,,,,,,,,,,,,
,Employee commuting ,2059.25,2084.15,1765,,,,,,,,,,,,,,,,
,Upstream leased assets,1142.43,904.3,549,,,,,,,,,,,,,,,,
,Total  GHG emissions,12214,5674,4300,,,,,,,,,,,,,,,,
,"* We have adopted Scope 3 emission categories from the GHG protocol. These categories capture the following sub-categories relevant to Xero: business travel (flights, taxi, rideshare, rental car, grey fleet, and accommodation), employee commuting (employee commute, and working from home), purchased goods and services (ICT including cloud services, paper, food and catering, and events), upstream leased assets (shared/base building electricity and natural gas), waste generated in operations (general waste, recycled waste, organic waste, and water), fuel and energy related activities (fleet fuel and purchased electricity not included in Scope 1 or 2)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Waste & resource recovery (tonnes),2023,2022,2021,,,,,,,,,,,,,,,,
,Recycling,137912.13,84644.51,,,,,,,,,,,,,,,,,
,General waste / landfill,98197.35,93433.62,,,,,,,,,,,,,,,,,
,Total waste & resource recovery,236109.48,178078,,,,,,,,,,,,,,,,,
